,year,repository,journal
0,1987,1.0,
1,1989,2.0,13.0
2,1991,4.0,19.0
3,1992,5.0,
4,1994,7.0,28.0
5,1995,8.0,33.0
6,1996,11.0,37.0
7,1997,12.0,41.0
8,1998,13.0,46.0
9,1999,18.0,52.0
10,2000,21.0,62.0
11,2001,23.0,69.0
12,2002,37.0,81.0
13,2003,45.0,95.0
14,2004,51.0,113.0
15,2005,66.0,134.0
16,2006,204.0,152.0
17,2007,221.0,168.0
18,2008,274.0,199.0
19,2009,315.0,223.0
20,2010,333.0,265.0
21,2011,363.0,315.0
22,2012,393.0,351.0
23,2013,435.0,417.0
24,2014,463.0,500.0
25,2015,494.0,556.0
26,2016,517.0,613.0
27,2017,529.0,669.0
28,2018,533.0,685.0
29,2019,575.0,686.0
